scenario,truth,bias,seed,estimand,estimate,cover_95,abs_error
linear_mtp,0.7081912351144698,-0.00035463372557031914,1,TE,0.7078366013888995,true,0.00035463372557031914
linear_mtp,0.6762523878022526,0.01986093501513475,2,TE,0.6961133228173874,true,0.01986093501513475
mixed_baseline_mtp,0.7081912351144698,0.05778304234674114,1,TE,0.7659742774612109,true,0.05778304234674114
mixed_baseline_mtp,0.6762523878022526,-0.013469982136211422,2,TE,0.6627824056660412,true,0.013469982136211422
weak_positivity_mtp,0.967935274009686,0.4556555161787912,1,TE,1.4235907901884772,false,0.4556555161787912
weak_positivity_mtp,0.9451493154770312,0.08293797833488337,2,TE,1.0280872938119145,true,0.08293797833488337
missing_outcome_mtp,0.7081912351144698,0.033282038204289655,1,TE,0.7414732733187595,true,0.033282038204289655
missing_outcome_mtp,0.6762523878022526,0.012829057353861417,2,TE,0.689081445156114,true,0.012829057353861417
missing_covariate_mtp,0.7081912351144698,0.25955749324559163,1,TE,0.9677487283600614,false,0.25955749324559163
missing_covariate_mtp,0.6762523878022526,0.32289159349052554,2,TE,0.9991439812927781,false,0.32289159349052554
